pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type
2094,2023-03-06,Walking,,,,6511,46-55,Cat
2094,2023-04-01,Walking,25.0,,,6511,46-55,Cat
2144,2022-06-13,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",6471,46-55,Fish
2144,2022-10-31,Walking,29.0,,,6471,46-55,Fish
2144,2023-04-03,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6471,46-55,Fish
2144,2023-08-30,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6471,46-55,Fish
2144,2023-10-23,Resting,,,,6471,46-55,Fish
2178,2022-05-28,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9442,36-45,Dog
2178,2023-05-23,Playing,40.0,,,9442,36-45,Dog
2178,2023-08-01,Resting,,,,9442,36-45,Dog
2178,2023-08-26,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9442,36-45,Dog
2178,2023-09-15,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9442,36-45,Dog
2178,2023-12-15,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9442,36-45,Dog
2178,2023-12-28,Health,0.0,Injury,"Minor surgery performed, recovery monitored",9442,36-45,Dog
2191,2022-11-27,Resting,21.0,,,9915,36-45,Rabbit
2191,2022-12-03,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,9915,36-45,Rabbit
2191,2023-06-05,Resting,78.0,,,9915,36-45,Rabbit
2218,2022-06-03,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2099,46-55,Rabbit
2235,2022-12-08,Playing,35.0,,,1811,26-35,Cat
2262,2022-05-13,Resting,,,,1208,26-35,Rabbit
2262,2023-08-10,Walking,,,,1208,26-35,Rabbit
2278,2022-07-07,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,6427,26-35,Hamster
2278,2023-06-15,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6427,26-35,Hamster
2284,2022-04-26,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",658,26-35,Rabbit
2284,2022-05-24,Resting,30.0,,,658,26-35,Rabbit
2287,2022-06-09,Resting,,,,7057,66+,Rabbit
2287,2022-09-07,Walking,88.0,,,7057,66+,Rabbit
2287,2023-01-18,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",7057,66+,Rabbit
2287,2023-07-16,Playing,5.0,,,7057,66+,Rabbit
2289,2023-11-07,Resting,25.0,,,4315,66+,Fish
2299,2022-05-27,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1559,18-25,Hamster
2299,2022-06-23,Playing,27.0,,,1559,18-25,Hamster
2299,2023-06-20,Resting,13.0,,,1559,18-25,Hamster
2342,2022-06-18,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",4929,66+,Hamster
2342,2023-01-25,Resting,33.0,,,4929,66+,Hamster
2342,2023-05-07,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4929,66+,Hamster
2342,2023-05-12,Walking,51.0,,,4929,66+,Hamster
2350,2023-08-26,Playing,12.0,,,9638,36-45,Rabbit
2350,2023-11-12,Resting,,,,9638,36-45,Rabbit
2381,2022-10-25,Walking,,,,5366,18-25,Rabbit
2381,2023-01-11,Walking,24.0,,,5366,18-25,Rabbit
2381,2023-10-30,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",5366,18-25,Rabbit
2415,2022-04-04,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
2415,2022-04-23,Walking,83.0,,,359,46-55,Rabbit
2415,2022-08-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
2415,2022-10-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",359,46-55,Rabbit
2415,2022-10-28,Playing,68.0,,,359,46-55,Rabbit
2415,2022-11-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,359,46-55,Rabbit
2415,2022-11-23,Playing,63.0,,,359,46-55,Rabbit
2415,2022-12-28,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
2429,2022-05-02,Playing,,,,4797,36-45,Dog
2429,2022-11-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4797,36-45,Dog
2429,2023-12-24,Resting,9.0,,,4797,36-45,Dog
2441,2023-07-17,Playing,4.0,,,2238,18-25,Rabbit
2448,2022-10-13,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",5266,26-35,Hamster
2448,2022-10-23,Walking,,,,5266,26-35,Hamster
2448,2023-01-14,Health,0.0,Injury,"Minor surgery performed, recovery monitored",5266,26-35,Hamster
2448,2023-11-06,Resting,74.0,,,5266,26-35,Hamster
2448,2023-12-24,Walking,72.0,,,5266,26-35,Hamster
2471,2022-09-20,Walking,19.0,,,7098,46-55,Dog
2471,2023-05-01,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7098,46-55,Dog
2471,2023-06-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7098,46-55,Dog
2492,2023-07-28,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7325,46-55,Cat
2513,2022-10-24,Health,0.0,Injury,Physical therapy recommended for joint issues,27,46-55,Dog
2513,2023-03-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",27,46-55,Dog
2513,2023-03-18,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",27,46-55,Dog
2528,2022-09-24,Walking,13.0,,,667,26-35,Fish
2544,2022-09-23,Resting,19.0,,,9264,56-65,Rabbit
2544,2023-03-02,Walking,5.0,,,9264,56-65,Rabbit
2544,2023-10-07,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9264,56-65,Rabbit
2544,2023-11-13,Health,0.0,Injury,"Minor surgery performed, recovery monitored",9264,56-65,Rabbit
2544,2023-12-10,Resting,,,,9264,56-65,Rabbit
2547,2023-07-04,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,3009,36-45,Hamster
2547,2023-10-22,Playing,73.0,,,3009,36-45,Hamster
2549,2022-04-08,Playing,9.0,,,8612,36-45,Dog
2549,2022-04-17,Walking,51.0,,,8612,36-45,Dog
2549,2022-07-21,Walking,76.0,,,8612,36-45,Dog
2549,2022-09-28,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",8612,36-45,Dog
2549,2022-10-30,Health,0.0,Injury,"Minor surgery performed, recovery monitored",8612,36-45,Dog
2549,2023-12-22,Health,0.0,Injury,Physical therapy recommended for joint issues,8612,36-45,Dog
2590,2022-04-22,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1365,26-35,Dog
2590,2023-01-13,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1365,26-35,Dog
2590,2023-12-11,Playing,,,,1365,26-35,Dog
2590,2023-12-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1365,26-35,Dog
2630,2022-07-06,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2214,18-25,Cat
2630,2022-10-29,Resting,31.0,,,2214,18-25,Cat
2709,2023-11-28,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4979,26-35,Cat
2709,2023-12-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",4979,26-35,Cat
2717,2023-11-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5249,18-25,Fish
2726,2022-06-26,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,6618,56-65,Fish
2726,2022-08-18,Playing,62.0,,,6618,56-65,Fish
2726,2022-08-26,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6618,56-65,Fish
2726,2022-11-14,Walking,35.0,,,6618,56-65,Fish
2726,2022-11-18,Health,0.0,Injury,Physical therapy recommended for joint issues,6618,56-65,Fish
2726,2023-03-20,Playing,25.0,,,6618,56-65,Fish
2726,2023-05-30,Playing,52.0,,,6618,56-65,Fish
2726,2023-07-15,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6618,56-65,Fish
2726,2023-09-23,Resting,51.0,,,6618,56-65,Fish
2729,2022-08-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",26,46-55,Rabbit
2729,2022-09-24,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",26,46-55,Rabbit
2729,2023-04-09,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,26,46-55,Rabbit
2729,2023-06-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,26,46-55,Rabbit
2729,2023-09-04,Playing,50.0,,,26,46-55,Rabbit
2733,2022-05-20,Walking,70.0,,,2443,56-65,Rabbit
2733,2022-07-08,Playing,31.0,,,2443,56-65,Rabbit
2733,2022-11-08,Playing,60.0,,,2443,56-65,Rabbit
2733,2023-07-29,Playing,47.0,,,2443,56-65,Rabbit
2733,2023-10-15,Playing,54.0,,,2443,56-65,Rabbit
2733,2023-11-06,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",2443,56-65,Rabbit
2735,2022-07-14,Resting,,,,2607,66+,Hamster
2735,2023-03-18,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",2607,66+,Hamster
2735,2023-10-25,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",2607,66+,Hamster
2747,2022-10-30,Walking,5.0,,,9401,26-35,Hamster
2747,2023-11-07,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9401,26-35,Hamster
2755,2023-01-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",310,18-25,Rabbit
2755,2023-03-02,Playing,31.0,,,310,18-25,Rabbit
2755,2023-05-21,Health,0.0,Injury,Physical therapy recommended for joint issues,310,18-25,Rabbit
2777,2023-11-08,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1085,66+,Hamster
2783,2022-09-23,Walking,6.0,,,7419,26-35,Rabbit
2783,2022-11-06,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7419,26-35,Rabbit
2783,2023-05-15,Resting,64.0,,,7419,26-35,Rabbit
2783,2023-06-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7419,26-35,Rabbit
2794,2022-04-29,Walking,56.0,,,9306,66+,Dog
2794,2022-05-10,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",9306,66+,Dog
2794,2022-06-22,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9306,66+,Dog
2794,2022-09-01,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,9306,66+,Dog
2794,2022-09-12,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9306,66+,Dog
2794,2023-01-11,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9306,66+,Dog
2794,2023-04-11,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,9306,66+,Dog
2805,2022-05-28,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",6327,36-45,Rabbit
2805,2022-07-05,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,6327,36-45,Rabbit
2805,2023-08-02,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6327,36-45,Rabbit
2805,2023-09-12,Resting,67.0,,,6327,36-45,Rabbit
2813,2022-12-23,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",3324,18-25,Rabbit
2813,2023-01-06,Health,0.0,Injury,"Minor surgery performed, recovery monitored",3324,18-25,Rabbit
2837,2022-04-10,Playing,41.0,,,9708,56-65,Fish
2837,2022-10-03,Health,0.0,Injury,"Minor surgery performed, recovery monitored",9708,56-65,Fish
2837,2023-07-13,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,9708,56-65,Fish
2837,2023-08-05,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",9708,56-65,Fish
2837,2023-12-24,Playing,87.0,,,9708,56-65,Fish
2840,2022-09-14,Resting,10.0,,,8267,46-55,Fish
2840,2023-04-15,Playing,8.0,,,8267,46-55,Fish
2840,2023-05-24,Health,0.0,Injury,"Minor surgery performed, recovery monitored",8267,46-55,Fish
2840,2023-12-03,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,8267,46-55,Fish
2843,2022-05-16,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",418,46-55,Hamster
2843,2022-06-23,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",418,46-55,Hamster
2843,2023-06-27,Walking,11.0,,,418,46-55,Hamster
2869,2022-04-04,Walking,,,,4983,36-45,Cat
2869,2022-07-21,Resting,,,,4983,36-45,Cat
2869,2023-01-08,Playing,89.0,,,4983,36-45,Cat
2869,2023-04-30,Playing,,,,4983,36-45,Cat
2869,2023-06-23,Health,0.0,Injury,Physical therapy recommended for joint issues,4983,36-45,Cat
2869,2023-06-24,Health,0.0,Injury,Physical therapy recommended for joint issues,4983,36-45,Cat
2869,2023-07-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4983,36-45,Cat
2869,2023-09-04,Resting,30.0,,,4983,36-45,Cat
2869,2023-10-21,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",4983,36-45,Cat
2881,2022-07-17,Playing,,,,195,26-35,Fish
2881,2022-12-10,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,195,26-35,Fish
2881,2023-03-01,Resting,31.0,,,195,26-35,Fish
2882,2022-07-02,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",6343,56-65,Dog
2882,2022-09-07,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6343,56-65,Dog
2882,2022-09-13,Playing,66.0,,,6343,56-65,Dog
2882,2022-09-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6343,56-65,Dog
2882,2023-02-18,Health,0.0,Injury,Physical therapy recommended for joint issues,6343,56-65,Dog
2882,2023-12-17,Playing,75.0,,,6343,56-65,Dog
2887,2023-07-13,Health,0.0,Injury,Physical therapy recommended for joint issues,8252,36-45,Rabbit
2888,2022-08-05,Playing,64.0,,,187,36-45,Rabbit
2888,2023-01-18,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",187,36-45,Rabbit
2888,2023-02-01,Health,0.0,Injury,"Minor surgery performed, recovery monitored",187,36-45,Rabbit
2888,2023-08-14,Walking,66.0,,,187,36-45,Rabbit
2888,2023-11-09,Resting,52.0,,,187,36-45,Rabbit
2893,2023-06-08,Resting,22.0,,,8726,66+,Dog
2893,2023-07-26,Resting,47.0,,,8726,66+,Dog
2893,2023-10-15,Playing,30.0,,,8726,66+,Dog
2893,2023-12-14,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8726,66+,Dog
2898,2022-04-12,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,8599,46-55,Cat
2898,2022-08-19,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",8599,46-55,Cat
2898,2022-10-06,Walking,,,,8599,46-55,Cat
2898,2023-11-15,Walking,,,,8599,46-55,Cat
2898,2023-12-30,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8599,46-55,Cat
2901,2022-07-17,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",7351,46-55,Dog
2901,2022-12-28,Playing,79.0,,,7351,46-55,Dog
2912,2022-10-08,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",4044,18-25,Hamster
2912,2022-12-30,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,4044,18-25,Hamster
3001,2023-03-25,Walking,85.0,,,9951,26-35,Cat
3001,2023-06-27,Playing,71.0,,,9951,26-35,Cat
3001,2023-09-21,Playing,73.0,,,9951,26-35,Cat
3001,2023-12-26,Walking,79.0,,,9951,26-35,Cat
3017,2022-12-13,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4534,46-55,Hamster
3017,2023-02-22,Resting,54.0,,,4534,46-55,Hamster
3026,2022-04-09,Health,0.0,Injury,Physical therapy recommended for joint issues,2037,66+,Rabbit
3026,2022-08-26,Playing,76.0,,,2037,66+,Rabbit
3026,2023-05-12,Health,0.0,Injury,"Minor surgery performed, recovery monitored",2037,66+,Rabbit
3035,2023-09-06,Playing,69.0,,,5820,66+,Fish
3040,2022-05-02,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,5637,18-25,Rabbit
3040,2022-06-09,Playing,15.0,,,5637,18-25,Rabbit
3040,2022-09-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5637,18-25,Rabbit
3040,2023-02-17,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5637,18-25,Rabbit
3040,2023-07-24,Resting,4.0,,,5637,18-25,Rabbit
3040,2023-08-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",5637,18-25,Rabbit
3040,2023-10-04,Playing,69.0,,,5637,18-25,Rabbit
3057,2022-10-27,Resting,63.0,,,2385,26-35,Hamster
3057,2023-03-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2385,26-35,Hamster
3057,2023-08-10,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2385,26-35,Hamster
3057,2023-09-14,Playing,62.0,,,2385,26-35,Hamster
3088,2022-06-23,Walking,8.0,,,1339,18-25,Hamster
3088,2022-07-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1339,18-25,Hamster
3088,2022-10-15,Playing,69.0,,,1339,18-25,Hamster
3088,2023-03-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1339,18-25,Hamster
3088,2023-07-18,Walking,4.0,,,1339,18-25,Hamster
3088,2023-08-26,Walking,87.0,,,1339,18-25,Hamster
3100,2022-07-27,Walking,19.0,,,329,66+,Dog
3100,2022-08-25,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",329,66+,Dog
3100,2023-06-17,Resting,3.0,,,329,66+,Dog
3132,2022-10-02,Resting,35.0,,,3504,66+,Rabbit
3132,2023-08-31,Resting,,,,3504,66+,Rabbit
3147,2022-06-15,Playing,12.0,,,1961,18-25,Dog
3147,2022-10-16,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1961,18-25,Dog
3147,2022-11-22,Resting,69.0,,,1961,18-25,Dog
3147,2023-12-15,Walking,60.0,,,1961,18-25,Dog
3154,2022-10-05,Walking,42.0,,,2479,66+,Hamster
3154,2023-03-15,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",2479,66+,Hamster
3190,2022-04-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6925,46-55,Fish
3190,2023-01-10,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,6925,46-55,Fish
3190,2023-03-03,Playing,63.0,,,6925,46-55,Fish
3220,2022-05-05,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,2733,26-35,Fish
3220,2022-05-17,Walking,84.0,,,2733,26-35,Fish
3220,2022-12-07,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,2733,26-35,Fish
3220,2023-07-06,Walking,30.0,,,2733,26-35,Fish
3223,2023-01-30,Walking,56.0,,,7880,26-35,Cat
3223,2023-07-08,Resting,62.0,,,7880,26-35,Cat
3223,2023-07-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",7880,26-35,Cat
3223,2023-09-18,Walking,3.0,,,7880,26-35,Cat
3223,2023-10-01,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",7880,26-35,Cat
3224,2022-10-23,Playing,,,,5059,36-45,Cat
3224,2023-06-04,Walking,82.0,,,5059,36-45,Cat
3224,2023-09-14,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,5059,36-45,Cat
3225,2022-04-12,Playing,9.0,,,936,26-35,Hamster
3225,2022-06-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",936,26-35,Hamster
3225,2022-07-14,Playing,,,,936,26-35,Hamster
3225,2022-09-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,936,26-35,Hamster
3225,2022-11-11,Health,0.0,Injury,Physical therapy recommended for joint issues,936,26-35,Hamster
3228,2022-04-03,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8432,66+,Fish
3228,2022-07-17,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8432,66+,Fish
3228,2022-09-16,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",8432,66+,Fish
3228,2022-12-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8432,66+,Fish
3228,2023-07-30,Health,0.0,Injury,Physical therapy recommended for joint issues,8432,66+,Fish
3289,2022-05-08,Health,0.0,Injury,Physical therapy recommended for joint issues,8286,46-55,Hamster
3289,2023-09-25,Playing,78.0,,,8286,46-55,Hamster
3289,2023-12-02,Playing,56.0,,,8286,46-55,Hamster
3291,2022-05-07,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9548,56-65,Fish
3291,2022-08-03,Resting,52.0,,,9548,56-65,Fish
3291,2023-04-06,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,9548,56-65,Fish
3291,2023-04-17,Walking,29.0,,,9548,56-65,Fish
3300,2022-09-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",264,66+,Hamster
3300,2022-11-12,Walking,,,,264,66+,Hamster
3300,2022-11-30,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",264,66+,Hamster
3300,2023-03-10,Playing,62.0,,,264,66+,Hamster
3300,2023-03-30,Health,0.0,Injury,Physical therapy recommended for joint issues,264,66+,Hamster
3300,2023-09-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",264,66+,Hamster
3304,2023-01-02,Resting,55.0,,,8128,46-55,Fish
3304,2023-06-25,Health,0.0,Injury,"Minor surgery performed, recovery monitored",8128,46-55,Fish
3304,2023-07-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8128,46-55,Fish
3309,2023-04-03,Playing,,,,3958,56-65,Hamster
3309,2023-10-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",3958,56-65,Hamster
3330,2023-10-12,Resting,49.0,,,9937,36-45,Rabbit
3330,2023-12-09,Playing,79.0,,,9937,36-45,Rabbit
3340,2022-09-02,Resting,59.0,,,755,18-25,Hamster
3370,2022-07-30,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",13,66+,Hamster
3370,2022-11-25,Walking,78.0,,,13,66+,Hamster
3370,2023-06-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",13,66+,Hamster
3370,2023-09-04,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,13,66+,Hamster
3410,2022-07-04,Playing,10.0,,,153,66+,Dog
3410,2022-11-25,Walking,,,,153,66+,Dog
3414,2022-05-26,Resting,2.0,,,6975,26-35,Rabbit
3420,2022-09-30,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7822,66+,Fish
3420,2023-05-10,Health,0.0,Injury,Physical therapy recommended for joint issues,7822,66+,Fish
3420,2023-09-02,Walking,22.0,,,7822,66+,Fish
3444,2023-01-22,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",9116,66+,Rabbit
3463,2022-08-15,Resting,19.0,,,8722,18-25,Hamster
3463,2023-07-09,Resting,13.0,,,8722,18-25,Hamster
3466,2022-12-25,Resting,51.0,,,446,46-55,Hamster
3466,2023-10-02,Resting,,,,446,46-55,Hamster
3467,2022-09-19,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9304,18-25,Fish
3467,2023-04-21,Walking,63.0,,,9304,18-25,Fish
3467,2023-10-17,Playing,74.0,,,9304,18-25,Fish
3484,2022-06-16,Health,0.0,Injury,"Minor surgery performed, recovery monitored",472,36-45,Hamster
3484,2023-04-28,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",472,36-45,Hamster
3484,2023-06-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,472,36-45,Hamster
3484,2023-06-27,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",472,36-45,Hamster
3484,2023-10-07,Playing,64.0,,,472,36-45,Hamster
3484,2023-10-09,Health,0.0,Injury,Physical therapy recommended for joint issues,472,36-45,Hamster
3520,2022-12-25,Playing,78.0,,,4834,36-45,Hamster
3520,2022-12-31,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4834,36-45,Hamster
3520,2023-04-14,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4834,36-45,Hamster
3520,2023-09-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,4834,36-45,Hamster
3530,2022-04-18,Walking,5.0,,,8942,36-45,Hamster
3530,2023-01-02,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8942,36-45,Hamster
3530,2023-03-01,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",8942,36-45,Hamster
3530,2023-06-24,Walking,,,,8942,36-45,Hamster
3530,2023-08-27,Playing,49.0,,,8942,36-45,Hamster
3530,2023-10-27,Resting,57.0,,,8942,36-45,Hamster
3530,2023-11-28,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8942,36-45,Hamster
3569,2022-10-12,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,915,36-45,Dog
3587,2022-11-11,Resting,87.0,,,7214,26-35,Hamster
3587,2023-01-27,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7214,26-35,Hamster
3605,2022-07-03,Walking,6.0,,,4554,66+,Cat
3605,2022-08-09,Health,0.0,Injury,Physical therapy recommended for joint issues,4554,66+,Cat
3612,2023-07-23,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",787,36-45,Fish
3612,2023-09-01,Walking,16.0,,,787,36-45,Fish
3612,2023-12-04,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",787,36-45,Fish
3612,2023-12-09,Resting,34.0,,,787,36-45,Fish
3617,2022-07-20,Resting,18.0,,,3060,66+,Dog
3617,2023-06-18,Resting,,,,3060,66+,Dog
3617,2023-12-22,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3060,66+,Dog
3638,2023-03-27,Playing,84.0,,,5508,56-65,Dog
3638,2023-05-06,Health,0.0,Injury,"Minor surgery performed, recovery monitored",5508,56-65,Dog
3638,2023-07-26,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",5508,56-65,Dog
3686,2022-10-26,Playing,9.0,,,2979,26-35,Rabbit
3686,2022-12-20,Resting,,,,2979,26-35,Rabbit
3686,2023-06-11,Resting,52.0,,,2979,26-35,Rabbit
3686,2023-07-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",2979,26-35,Rabbit
3686,2023-07-11,Health,0.0,Injury,"Minor surgery performed, recovery monitored",2979,26-35,Rabbit
3686,2023-12-07,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",2979,26-35,Rabbit
3695,2023-10-09,Playing,46.0,,,6294,56-65,Fish
3695,2023-10-20,Resting,32.0,,,6294,56-65,Fish
3695,2023-10-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",6294,56-65,Fish
3723,2022-06-21,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",480,56-65,Dog
3723,2022-08-02,Health,0.0,Injury,"Minor surgery performed, recovery monitored",480,56-65,Dog
3723,2022-10-18,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",480,56-65,Dog
3723,2023-04-25,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,480,56-65,Dog
3723,2023-10-02,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",480,56-65,Dog
3727,2023-03-06,Walking,61.0,,,8154,66+,Dog
3727,2023-10-13,Playing,56.0,,,8154,66+,Dog
3735,2022-08-11,Resting,87.0,,,4333,26-35,Cat
3735,2023-03-05,Resting,12.0,,,4333,26-35,Cat
3735,2023-04-10,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4333,26-35,Cat
3735,2023-11-28,Walking,,,,4333,26-35,Cat
